-6.995680124 4.62E-22
-6.275078705 5.11E-18
-5.673961445 5.90E-15
-5.133595577 1.86E-12
-4.631559506 2.35E-10
-4.156271756 1.46E-08
-3.700743403 5.04E-07
-3.260320732 1.05E-05
-2.831680453 1.40E-04
-2.412317705 0.001233683
-2.000258549 0.0074828
-1.593885861 0.031847231
-1.191826998 0.096717948
-0.792876977 0.212132789
-0.395942737 0.338772658
0 0.395778556
0.395942737 0.338772658
0.792876977 0.212132789
1.191826998 0.096717948
1.593885861 0.031847231
2.000258549 0.0074828
2.412317705 0.001233683
2.831680453 1.40E-04
3.260320732 1.05E-05
3.700743403 5.04E-07
4.156271756 1.46E-08
4.631559506 2.35E-10
5.133595577 1.86E-12
5.673961445 5.90E-15
6.275078705 5.11E-18
6.995680124 4.62E-22
